,cidade,estado,habitantes,ranking_habitantes_pais,ranking_habitantes_estado,densidade_demografica,salario_medio,ranking_salario_pais,ranking_salario_estado,pessoas_ocupadas,porcentagem_ocupada,escolarizacao_6_14,ranking_escolaridade_pais,ranking_escolaridade_estado,anos_inicias_fundamental_publico,anos_inicias_fundamental_particular,pib_per_capta,ranking_pib_pais,ranking_pib_estado,percentual_receita_externa,total_receitas_realizadas,total_receitas_empenhadas,mortalidade_infantil,ranking_mortalidade_pais,ranking_mortalidade_estado,internacoes_diarreia,area_territorial,ranking_area_pais,ranking_area_estado,percentual_esgoto,percentual_arborizacao_publica,percentual_urbanizacao_publica
0,agua-boa,mg,15.195 pessoas,2143º,236º,"11,51 hab/km²","1,5 salários mínimos",-1,664º,970 pessoas,"7,1 %","92,9 %",,-1,"6,6","4,2","8.929,52 R$",-1,,"91,9 %","29.538,64 R$ (×1000)","27.745,68 R$ (×1000)","15,79 óbitos por mil nascidos vivos",,-1,"14,7 internações por mil habitantes","1.320,344 km²",-1,-1,"51,6 %","20,5 %","18,2 %"
0,agua-boa,mt,20.856 pessoas,1569º,28º,"2,79 hab/km²","2,5 salários mínimos",427º,40º,5.800 pessoas,"23,0 %","99,2 %",,-1,"6,2","4,6","40.218,44 R$",427º,,"67,3 %","92.166,41 R$ (×1000)","81.874,16 R$ (×1000)","10,23 óbitos por mil nascidos vivos",3073º,-1,"3,6 internações por mil habitantes","7.510,635 km²",-1,-1,"14,2 %","70,1 %","1,5 %"
0,agua-branca,pb,9.449 pessoas,3110º,90º,"39,94 hab/km²","1,5 salários mínimos",-1,166º,803 pessoas,"7,9 %","97,6 %",-1,-1,"6,1","4,9","7.527,81 R$",-1,,"96,5 %","24.636,41 R$ (×1000)","23.228,10 R$ (×1000)","9,26 óbitos por mil nascidos vivos",3110º,-1,"2,1 internações por mil habitantes","241,662 km²",,-1,"23,3 %","91,9 %","0,2 %"
0,agua-branca,pi,16.451 pessoas,2017º,35º,"169,53 hab/km²","1,6 salários mínimos",-1,161º,1.810 pessoas,"10,4 %","98,6 %",1139º,-1,"6,1","4,6","10.704,23 R$",-1,1º,"91,3 %","49.509,45 R$ (×1000)","44.495,98 R$ (×1000)","19,48 óbitos por mil nascidos vivos",-1,-1,"3,9 internações por mil habitantes","97,041 km²",-1,-1,2 %,"81,6 %","0,2 %"
0,agua-clara,ms,14.424 pessoas,2235º,40º,"1,31 hab/km²","2,6 salários mínimos",,12º,4.435 pessoas,"29,1 %","96,6 %",,-1,"6,1","4,8","99.273,95 R$",,59º,66 %,"74.959,24 R$ (×1000)","65.039,35 R$ (×1000)","6,33 óbitos por mil nascidos vivos",,-1,"0,3 internações por mil habitantes","7.781,558 km²",-1,-1,"3,8 %","95,5 %","6,4 %"
0,agua-comprida,mg,2.025 pessoas,5441º,834º,"4,11 hab/km²","2,7 salários mínimos",,30º,269 pessoas,"13,4 %","95,2 %",-1,-1,"5,7","5,4","64.364,49 R$",,158º,"91,2 %","18.442,26 R$ (×1000)","16.122,11 R$ (×1000)",- óbitos por mil nascidos vivos,-1,-1,"0,5 internações por mil habitantes","492,167 km²",-1,-1,"83,8 %","97,6 %","21,4 %"
0,agua-doce-do-norte,es,11.771 pessoas,2635º,54º,"24,85 hab/km²","2,2 salários mínimos",-1,11º,1.334 pessoas,"12,0 %","98,7 %",982º,-1,"6,1","4,2","11.780,55 R$",-1,,"90,9 %","34.702,54 R$ (×1000)","36.255,11 R$ (×1000)","12,42 óbitos por mil nascidos vivos",,-1,"0,3 internações por mil habitantes","473,729 km²",-1,-1,"40,7 %","70,1 %","11,5 %"
0,aguai,sp,32.148 pessoas,967º,178º,"67,72 hab/km²","2,3 salários mínimos",-1,280º,6.515 pessoas,"18,1 %","95,8 %",967º,-1,"6,3","4,6","26.549,19 R$",-1,,-,"84.094,76 R$ (×1000)","72.168,73 R$ (×1000)","16,06 óbitos por mil nascidos vivos",-1,-1,"0,1 internações por mil habitantes","474,554 km²",,-1,"90,1 %","91,1 %","14,7 %"
0,agua-limpa,go,2.013 pessoas,5444º,240º,"4,45 hab/km²","1,9 salários mínimos",-1,116º,312 pessoas,"16,7 %","97,4 %",-1,-1,"5,9","6,1","22.564,81 R$",-1,,"95,9 %","15.934,67 R$ (×1000)","13.860,20 R$ (×1000)","45,45 óbitos por mil nascidos vivos",3079º,-1,-,"452,858 km²",,-1,"7,3 %",92 %,"3,4 %"
0,aguas-belas,pe,40.235 pessoas,753º,41º,"45,41 hab/km²","1,8 salários mínimos",,40º,1.986 pessoas,"4,6 %","96,1 %",,-1,"5,1","4,1","7.761,24 R$",,-1,"91,8 %","84.026,50 R$ (×1000)","81.990,37 R$ (×1000)","20,86 óbitos por mil nascidos vivos",3263º,-1,"0,7 internações por mil habitantes","885,988 km²",1577º,-1,"29,1 %","91,7 %","7,4 %"
0,aguas-da-prata,sp,7.584 pessoas,3474º,412º,"53,05 hab/km²","2,0 salários mínimos",,485º,1.048 pessoas,"12,9 %","98,8 %",834º,-1,"6,5","5,6","18.974,98 R$",,-1,"72,6 %","29.390,25 R$ (×1000)","24.363,40 R$ (×1000)","25,32 óbitos por mil nascidos vivos",,-1,"0,6 internações por mil habitantes","142,673 km²",-1,-1,"84,5 %","81,4 %","46,1 %"
0,aguas-de-chapeco,sc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,aguas-de-lindoia,sp,17.266 pessoas,1915º,272º,"287,16 hab/km²","2,0 salários mínimos",-1,485º,5.709 pessoas,"30,7 %","96,2 %",,-1,"7,0","5,1","25.554,26 R$",-1,-1,"55,9 %","86.949,22 R$ (×1000)","75.201,48 R$ (×1000)","8,37 óbitos por mil nascidos vivos",-1,-1,"2,4 internações por mil habitantes","60,126 km²",-1,-1,"92,9 %","82,1 %","73,3 %"
0,aguas-de-santa-barbara,sp,5.601 pessoas,4053º,466º,"13,83 hab/km²","2,4 salários mínimos",,230º,1.233 pessoas,"20,4 %","98,2 %",,-1,"6,9","5,9","24.673,66 R$",,-1,"67,9 %","34.484,20 R$ (×1000)","28.471,95 R$ (×1000)",- óbitos por mil nascidos vivos,,-1,"1,3 internações por mil habitantes","404,463 km²",-1,-1,"75,1 %","95,9 %",6 %
0,aguas-de-sao-pedro,sp,2.707 pessoas,5199º,593º,"488,89 hab/km²","2,2 salários mínimos",,333º,1.601 pessoas,"47,4 %","98,4 %",-1,-1,"7,4","6,6","38.294,25 R$",,-1,"61,4 %","25.157,76 R$ (×1000)","22.709,99 R$ (×1000)",- óbitos por mil nascidos vivos,-1,-1,-,"3,612 km²",,-1,"97,4 %","97,7 %","56,2 %"
0,aguas-lindas-de-goias,go,159.378 pessoas,165º,6º,"846,02 hab/km²","1,8 salários mínimos",-1,150º,11.718 pessoas,"5,7 %","96,6 %",-1,-1,"5,6","4,4","9.108,33 R$",-1,,-,"318.867,71 R$ (×1000)","261.959,14 R$ (×1000)","12,46 óbitos por mil nascidos vivos",3263º,-1,"0,4 internações por mil habitantes","192,392 km²",-1,-1,19 %,"53,9 %","0,3 %"
0,aguiarnopolis,to,5.162 pessoas,4199º,61º,"21,93 hab/km²","1,5 salários mínimos",-1,95º,1.170 pessoas,"17,8 %","96,9 %",,-1,"4,4","3,8","18.719,04 R$",-1,2º,"94,9 %","19.456,11 R$ (×1000)","18.280,87 R$ (×1000)",- óbitos por mil nascidos vivos,,-1,"0,5 internações por mil habitantes","236,792 km²",-1,-1,"33,7 %",53 %,0 %
0,aimores,mg,24.959 pessoas,1289º,137º,"18,50 hab/km²","1,8 salários mínimos",-1,256º,3.245 pessoas,"12,9 %","96,5 %",1091º,,"6,2","4,7","16.877,78 R$",-1,2º,"68,7 %","63.055,28 R$ (×1000)","56.293,51 R$ (×1000)",- óbitos por mil nascidos vivos,3263º,-1,"6,1 internações por mil habitantes","1.348,913 km²",-1,,"80,4 %","81,3 %","14,4 %"
0,alagoa-grande,pb,28.479 pessoas,1113º,18º,"88,84 hab/km²","1,7 salários mínimos",-1,67º,2.183 pessoas,"7,6 %","97,4 %",1113º,-1,"4,3","3,3","9.333,42 R$",-1,,"95,1 %","50.172,09 R$ (×1000)","49.154,32 R$ (×1000)","16,81 óbitos por mil nascidos vivos",3079º,-1,"0,2 internações por mil habitantes","322,071 km²",-1,-1,"49,4 %","85,4 %","20,7 %"
0,alagoinha,pb,13.576 pessoas,2410º,63º,"139,99 hab/km²","1,9 salários mínimos",-1,15º,741 pessoas,"5,2 %","98,7 %",982º,4º,"3,8","3,8","7.516,55 R$",-1,,-,"36.867,88 R$ (×1000)","32.853,50 R$ (×1000)","8,47 óbitos por mil nascidos vivos",,-1,"0,6 internações por mil habitantes","111,361 km²",-1,4º,"9,1 %",80 %,"15,2 %"
0,alagoinha,pe,13.759 pessoas,2357º,136º,"63,16 hab/km²","1,5 salários mínimos",-1,154º,895 pessoas,"6,1 %","96,3 %",,-1,"4,8","3,6","8.587,97 R$",-1,-1,"90,6 %","37.869,58 R$ (×1000)","34.348,50 R$ (×1000)","10,81 óbitos por mil nascidos vivos",,-1,"1,5 internações por mil habitantes","216,452 km²",-1,-1,"47,9 %","55,9 %","7,8 %"
0,alagoinhas,ba,141.949 pessoas,185º,10º,"188,67 hab/km²","2,2 salários mínimos",-1,42º,27.387 pessoas,"18,2 %","97,4 %",-1,-1,"4,2","3,1","22.500,08 R$",-1,23º,"74,7 %","357.419,92 R$ (×1000)","319.462,75 R$ (×1000)","14,64 óbitos por mil nascidos vivos",3079º,-1,"0,8 internações por mil habitantes","707,835 km²",,-1,"54,6 %","54,4 %","24,3 %"
0,alambari,sp,4.884 pessoas,4308º,490º,"30,66 hab/km²","1,8 salários mínimos",-1,600º,1.000 pessoas,"16,9 %","99,3 %",-1,-1,"6,8","4,9","17.477,70 R$",-1,-1,83 %,"23.711,00 R$ (×1000)","21.839,01 R$ (×1000)",- óbitos por mil nascidos vivos,3263º,-1,"0,2 internações por mil habitantes","159,600 km²",-1,-1,"59,1 %","48,5 %",14 %
0,alcobaca,ba,21.271 pessoas,1544º,155º,"14,36 hab/km²","1,8 salários mínimos",-1,186º,1.726 pessoas,"7,7 %","96,5 %",1003º,,"4,8","3,2","11.298,81 R$",-1,-1,"89,9 %","50.627,98 R$ (×1000)","53.604,61 R$ (×1000)","23,89 óbitos por mil nascidos vivos",3263º,,"1,1 internações por mil habitantes","1.477,929 km²",-1,,"31,7 %","75,8 %","4,6 %"
0,alegre,es,30.768 pessoas,1040º,21º,"39,85 hab/km²","2,2 salários mínimos",-1,11º,4.299 pessoas,"14,1 %","97,6 %",1040º,-1,"5,8","4,2","15.241,38 R$",-1,,"72,4 %","83.442,07 R$ (×1000)","76.070,96 R$ (×1000)","5,10 óbitos por mil nascidos vivos",,-1,"1,3 internações por mil habitantes","756,860 km²",-1,-1,"59,6 %",86 %,"43,9 %"
0,alegrete,rs,77.653 pessoas,373º,25º,"9,95 hab/km²","2,3 salários mínimos",718º,212º,13.430 pessoas,"18,1 %","98,9 %",1019º,-1,"5,5","4,2","25.890,38 R$",718º,,67 %,"225.019,54 R$ (×1000)","199.319,41 R$ (×1000)","13,51 óbitos por mil nascidos vivos",,-1,"1,3 internações por mil habitantes","7.800,163 km²",-1,-1,"77,4 %","82,1 %","30,3 %"
0,alegrete-do-piaui,pi,5.153 pessoas,4206º,134º,"18,23 hab/km²","1,6 salários mínimos",-1,161º,351 pessoas,"7,1 %","96,7 %",,-1,"5,3","3,9","6.976,90 R$",-1,,-,"14.928,46 R$ (×1000)","13.272,15 R$ (×1000)","12,99 óbitos por mil nascidos vivos",-1,-1,"3,1 internações por mil habitantes","243,732 km²",-1,-1,"2,4 %","85,7 %","0,2 %"
0,alem-paraiba,mg,34.349 pessoas,898º,96º,"67,30 hab/km²","1,9 salários mínimos",,182º,7.867 pessoas,"22,3 %","97,6 %",898º,3º,"5,9","4,0","25.711,91 R$",,2º,"73,4 %","84.079,73 R$ (×1000)","69.396,64 R$ (×1000)","19,66 óbitos por mil nascidos vivos",,-1,"0,7 internações por mil habitantes","510,250 km²",-1,3º,"80,4 %","69,6 %","44,2 %"
0,alexania,go,23.814 pessoas,1379º,45º,"28,09 hab/km²","2,2 salários mínimos",-1,50º,5.396 pessoas,"19,8 %",97 %,,-1,"5,5","4,9","29.187,12 R$",-1,,-,"73.422,68 R$ (×1000)","67.957,20 R$ (×1000)","11,44 óbitos por mil nascidos vivos",,-1,"1,2 internações por mil habitantes","847,893 km²",1631º,-1,"18,8 %","74,1 %","0,6 %"
0,alfenas,mg,73.774 pessoas,400º,45º,"86,75 hab/km²","2,6 salários mínimos",,39º,22.970 pessoas,"28,9 %","97,8 %",,-1,"6,5","4,6","33.422,98 R$",,77º,"79,1 %","266.276,68 R$ (×1000)","242.021,98 R$ (×1000)","14,03 óbitos por mil nascidos vivos",-1,-1,"0,1 internações por mil habitantes","850,446 km²",1622º,-1,"94,8 %",79 %,70 %
0,alfredo-wagner,sc,9.410 pessoas,3113º,127º,"12,84 hab/km²","1,8 salários mínimos",-1,278º,1.524 pessoas,"15,3 %","92,8 %",,-1,"6,9","4,8","23.062,64 R$",-1,,"81,4 %","27.865,23 R$ (×1000)","24.745,23 R$ (×1000)","14,93 óbitos por mil nascidos vivos",3113º,-1,2 internações por mil habitantes,"733,489 km²",,-1,"55,5 %","23,1 %","32,9 %"
0,alianca-do-tocantins,to,5.671 pessoas,4035º,56º,"3,59 hab/km²","1,7 salários mínimos",-1,44º,505 pessoas,"9,3 %","96,2 %",941º,5º,"6,0","5,3","20.773,07 R$",-1,-1,"91,6 %","14.911,35 R$ (×1000)","14.065,56 R$ (×1000)",- óbitos por mil nascidos vivos,-1,-1,"0,4 internações por mil habitantes","1.572,097 km²",-1,5º,"20,7 %","34,1 %",0 %
0,almeirim,pa,33.614 pessoas,919º,60º,"0,46 hab/km²","2,9 salários mínimos",-1,6º,4.662 pessoas,"13,7 %","95,8 %",919º,-1,"3,6","2,5","20.064,73 R$",-1,-1,93 %,"95.112,36 R$ (×1000)","89.594,73 R$ (×1000)","17,45 óbitos por mil nascidos vivos",,-1,"2,1 internações por mil habitantes","72.954,798 km²",-1,-1,30 %,"19,2 %","3,2 %"
0,almenara,mg,38.775 pessoas,789º,82º,"16,90 hab/km²","1,8 salários mínimos",660º,256º,5.686 pessoas,"13,7 %","97,8 %",,-1,"4,7","4,0","11.873,07 R$",660º,2º,"87,3 %","76.557,45 R$ (×1000)","75.200,48 R$ (×1000)","12,24 óbitos por mil nascidos vivos",3263º,-1,2 internações por mil habitantes,"2.294,426 km²",-1,-1,"76,8 %","70,5 %","5,9 %"
0,aloandia,go,2.051 pessoas,5437º,239º,"20,08 hab/km²","1,8 salários mínimos",-1,150º,274 pessoas,"13,7 %","98,1 %",-1,-1,"6,9","5,6","18.885,92 R$",-1,-1,"88,9 %","13.201,28 R$ (×1000)","10.952,05 R$ (×1000)",-,,-1,-,"102,160 km²",,-1,"23,1 %","91,2 %",0 %
0,alpinopolis,mg,18.488 pessoas,1779º,194º,"40,66 hab/km²","1,8 salários mínimos",-1,256º,2.892 pessoas,"14,6 %",97 %,,,"6,6","5,1","17.764,06 R$",-1,-1,"86,5 %","41.935,67 R$ (×1000)","39.224,15 R$ (×1000)","4,39 óbitos por mil nascidos vivos",3263º,-1,2 internações por mil habitantes,"460,685 km²",-1,,"81,7 %","60,2 %","16,6 %"
0,alta-floresta,mt,49.164 pessoas,615º,10º,"5,48 hab/km²","2,2 salários mínimos",,87º,12.558 pessoas,"24,3 %",98 %,,-1,"5,9","5,0","29.714,34 R$",,,-,"146.439,79 R$ (×1000)","118.288,02 R$ (×1000)","19,19 óbitos por mil nascidos vivos",-1,-1,"1,7 internações por mil habitantes","8.953,213 km²",-1,-1,17 %,"37,7 %",3 %
0,altamira,pa,99.075 pessoas,286º,12º,"0,62 hab/km²","2,4 salários mínimos",-1,18º,20.043 pessoas,"17,7 %","93,1 %",,-1,"5,5","4,8","22.439,90 R$",-1,17º,-,- R$ (×1000),- R$ (×1000),"14,07 óbitos por mil nascidos vivos",,-1,"4,1 internações por mil habitantes","159.533,328 km²",,-1,"17,8 %","44,3 %","22,7 %"
0,alterosa,mg,13.717 pessoas,2367º,269º,"37,89 hab/km²","1,6 salários mínimos",-1,515º,1.730 pessoas,"12,0 %","97,7 %",,-1,"7,0","5,6","15.038,66 R$",-1,-1,"89,6 %","32.839,82 R$ (×1000)","29.250,62 R$ (×1000)","5,38 óbitos por mil nascidos vivos",3032º,-1,"0,3 internações por mil habitantes","362,010 km²",-1,-1,74 %,"40,5 %","55,7 %"
0,alto-alegre,sp,4.102 pessoas,4618º,532º,"12,86 hab/km²","2,2 salários mínimos",,333º,385 pessoas,"9,4 %","95,1 %",,-1,"7,6","5,2","26.590,67 R$",,-1,"86,3 %","20.846,42 R$ (×1000)","18.236,22 R$ (×1000)",- óbitos por mil nascidos vivos,,-1,1 internações por mil habitantes,"318,574 km²",-1,-1,"82,7 %","94,3 %","5,9 %"
0,alto-araguaia,mt,15.644 pessoas,2096º,44º,"2,84 hab/km²","2,6 salários mínimos",-1,22º,2.757 pessoas,"14,7 %","96,7 %",-1,-1,"6,0","4,8","46.177,25 R$",-1,409º,"80,8 %","63.035,53 R$ (×1000)","55.216,27 R$ (×1000)","9,09 óbitos por mil nascidos vivos",-1,-1,"0,4 internações por mil habitantes","5.399,326 km²",-1,-1,"7,8 %","38,3 %","10,4 %"
0,alto-boa-vista,mt,5.247 pessoas,4168º,100º,"2,34 hab/km²","2,9 salários mínimos",-1,7º,492 pessoas,"7,4 %","96,8 %",-1,,-,-,"16.837,42 R$",-1,,"93,3 %",- R$ (×1000),- R$ (×1000),- óbitos por mil nascidos vivos,-1,-1,1 internações por mil habitantes,"2.240,437 km²",-1,,"24,4 %",15 %,"0,1 %"
