,cidade,estado,habitantes,ranking_habitantes_pais,ranking_habitantes_estado,densidade_demografica,salario_medio,ranking_salario_pais,ranking_salario_estado,pessoas_ocupadas,porcentagem_ocupada,escolarizacao_6_14,ranking_escolaridade_pais,ranking_escolaridade_estado,anos_inicias_fundamental_publico,anos_inicias_fundamental_particular,pib_per_capta,ranking_pib_pais,ranking_pib_estado,percentual_receita_externa,total_receitas_realizadas,total_receitas_empenhadas,mortalidade_infantil,ranking_mortalidade_pais,ranking_mortalidade_estado,internacoes_diarreia,area_territorial,ranking_area_pais,ranking_area_estado,percentual_esgoto,percentual_arborizacao_publica,percentual_urbanizacao_publica
0,cascavel,pr,286.205 pessoas,86º,5º,"136,23 hab/km²","2,6 salários mínimos",466º,25º,121.470 pessoas,"37,4 %","98,1 %",,,"6,5","4,9","35.590,04 R$",466º,,"51,2 %","962.657,58 R$ (×1000)","805.933,74 R$ (×1000)","9,84 óbitos por mil nascidos vivos",3173º,-1,"0,1 internações por mil habitantes","2.101,074 km²",-1,,"59,8 %","95,1 %","55,2 %"
0,catanduva,sp,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,contagem,mg,603.442 pessoas,31º,3º,"3.090,33 hab/km²","2,6 salários mínimos",476º,39º,211.708 pessoas,"32,1 %","97,4 %",-1,-1,"6,2","4,3","44.015,99 R$",476º,46º,"57,7 %","1.712.721,98 R$ (×1000)","1.632.664,77 R$ (×1000)","9,99 óbitos por mil nascidos vivos",3079º,-1,"0,2 internações por mil habitantes","194,746 km²",-1,-1,"92,2 %","68,3 %",39 %
0,coronel-vivida,pr,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,corumba,ms,103.703 pessoas,266º,3º,"1,60 hab/km²","2,8 salários mínimos",-1,8º,16.609 pessoas,"15,0 %","94,7 %",,-1,"4,6","4,1","26.107,73 R$",-1,1º,"73,6 %","518.024,65 R$ (×1000)","419.278,92 R$ (×1000)","17,48 óbitos por mil nascidos vivos",,-1,"1,5 internações por mil habitantes","64.438,363 km²",-1,-1,"19,3 %","96,6 %","33,4 %"
0,fazenda-rio-grande,pr,81.675 pessoas,349º,23º,"700,00 hab/km²","2,6 salários mínimos",-1,25º,19.410 pessoas,"19,7 %","95,8 %",,-1,"5,9","4,5","25.009,80 R$",-1,,68 %,"215.572,00 R$ (×1000)","190.058,00 R$ (×1000)","12,30 óbitos por mil nascidos vivos",,-1,"0,2 internações por mil habitantes","116,678 km²",-1,-1,78 %,"48,3 %","15,6 %"
0,florida-paulista,sp,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,fortaleza-do-tabocao,to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,getulio-vargas,rs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,girua,rs,17.075 pessoas,1957º,114º,"19,95 hab/km²","2,3 salários mínimos",,212º,3.211 pessoas,"19,9 %","98,2 %",1019º,-1,"6,3","4,5","37.315,75 R$",,,"80,3 %","71.959,93 R$ (×1000)","61.768,18 R$ (×1000)","15,79 óbitos por mil nascidos vivos",,-1,"4,8 internações por mil habitantes","857,059 km²",1613º,-1,"14,1 %","99,5 %","8,7 %"
0,guacui,es,27.851 pessoas,1141º,24º,"59,47 hab/km²","1,8 salários mínimos",-1,52º,5.357 pessoas,"17,5 %","96,9 %",1141º,-1,"5,2","4,1","16.887,94 R$",-1,2º,"77,1 %","81.802,57 R$ (×1000)","75.126,18 R$ (×1000)","11,68 óbitos por mil nascidos vivos",3263º,-1,"1,4 internações por mil habitantes","468,185 km²",,-1,"71,3 %","62,8 %","71,9 %"
0,guanhaes,mg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,guaranta,sp,6.404 pessoas,3805º,441º,"13,89 hab/km²","1,9 salários mínimos",,557º,1.122 pessoas,"16,9 %","98,9 %",-1,-1,"5,7","3,8","24.977,66 R$",,-1,"89,6 %","23.152,79 R$ (×1000)","18.916,67 R$ (×1000)",- óbitos por mil nascidos vivos,,-1,"0,9 internações por mil habitantes","461,746 km²",-1,-1,"86,8 %","98,7 %","40,8 %"
0,guarda,mor,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,guarulhos,sp,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,guaxupe,mg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,iguape,sp,28.841 pessoas,1096º,193º,"14,58 hab/km²","2,1 salários mínimos",760º,402º,2.998 pessoas,"9,8 %","99,5 %",1096º,-1,"6,2","5,2","26.430,11 R$",760º,,"87,6 %","104.794,14 R$ (×1000)","89.269,86 R$ (×1000)","32,79 óbitos por mil nascidos vivos",-1,-1,"0,1 internações por mil habitantes","1.978,795 km²",,-1,"76,2 %",59 %,"24,4 %"
0,inaciolandia,go,5.699 pessoas,4025º,136º,"8,28 hab/km²","2,1 salários mínimos",719º,68º,785 pessoas,"12,8 %","98,4 %",-1,-1,"6,1","5,4","37.172,89 R$",719º,-1,"85,5 %","27.163,04 R$ (×1000)","23.807,34 R$ (×1000)",- óbitos por mil nascidos vivos,,-1,-,"691,794 km²",-1,-1,"3,8 %","99,3 %",0 %
0,indiara,go,13.687 pessoas,2374º,69º,"14,31 hab/km²","2,1 salários mínimos",-1,68º,2.957 pessoas,"19,2 %","96,8 %",-1,3º,"6,1","4,7","20.876,20 R$",-1,-1,"80,4 %","44.431,29 R$ (×1000)","34.023,42 R$ (×1000)",- óbitos por mil nascidos vivos,-1,-1,"1,5 internações por mil habitantes","956,475 km²",1471º,3º,"7,9 %","83,4 %","3,3 %"
0,itaiba,pe,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,itapema,sc,45.797 pessoas,660º,29º,"792,29 hab/km²","2,2 salários mínimos",,118º,23.463 pessoas,"37,1 %",98 %,,-1,"6,3","5,1","27.752,25 R$",,,46 %,"205.178,78 R$ (×1000)","178.203,82 R$ (×1000)","16,06 óbitos por mil nascidos vivos",-1,-1,"0,3 internações por mil habitantes","58,210 km²",,-1,"86,6 %","35,3 %","55,1 %"
0,itaporanga-d'ajuda,se,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,itaueira,pi,10.678 pessoas,2848º,52º,"4,18 hab/km²","1,5 salários mínimos",593º,190º,606 pessoas,"5,5 %","98,7 %",982º,-1,"4,4","3,6","10.054,21 R$",593º,,"84,2 %","46.576,99 R$ (×1000)","25.063,51 R$ (×1000)",- óbitos por mil nascidos vivos,,-1,"6,6 internações por mil habitantes","2.554,179 km²",,-1,18 %,"86,9 %",1 %
0,itiquira,mt,11.478 pessoas,2678º,58º,"1,32 hab/km²","2,9 salários mínimos",-1,7º,2.217 pessoas,"16,8 %","96,6 %",,-1,"6,0","4,5","85.498,25 R$",-1,85º,"77,6 %","74.594,84 R$ (×1000)","64.856,32 R$ (×1000)","11,49 óbitos por mil nascidos vivos",,-1,"3,9 internações por mil habitantes","8.659,910 km²",-1,-1,"3,3 %","70,9 %","13,3 %"
0,jacunda,pa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,jequitai,mg,8.005 pessoas,3383º,426º,"6,31 hab/km²","1,7 salários mínimos",-1,369º,730 pessoas,"9,6 %","97,9 %",1161º,-1,"6,1","3,8","9.968,50 R$",-1,-1,"90,4 %","18.401,86 R$ (×1000)","15.893,63 R$ (×1000)",- óbitos por mil nascidos vivos,-1,-1,"0,1 internações por mil habitantes","1.268,443 km²",-1,-1,"1,7 %","86,2 %",0 %
0,jequitiba,mg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,jequitinhonha,mg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,jerumenha,pi,4.390 pessoas,4508º,169º,"2,35 hab/km²","1,5 salários mínimos",-1,190º,422 pessoas,"9,5 %","97,4 %",-1,-1,"3,8","3,6","9.894,35 R$",-1,,"96,5 %","13.145,22 R$ (×1000)","12.126,04 R$ (×1000)","15,15 óbitos por mil nascidos vivos",3079º,-1,"2,5 internações por mil habitantes","1.867,313 km²",4º,-1,"37,6 %",-,0 %
0,jesuania,mg,4.768 pessoas,4343º,632º,"30,99 hab/km²","1,6 salários mínimos",-1,515º,457 pessoas,"9,5 %","97,1 %",,-1,"6,9","5,5","13.155,41 R$",-1,,"92,9 %","15.329,58 R$ (×1000)","12.932,95 R$ (×1000)","15,87 óbitos por mil nascidos vivos",-1,-1,-,"153,852 km²",-1,-1,"74,9 %","17,6 %","61,1 %"
0,jesuitas,pr,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,jijoca-de-jericoacoara,ce,17.002 pessoas,1975º,117º,"83,02 hab/km²","1,6 salários mínimos",-1,79º,4.860 pessoas,"24,8 %","98,8 %",,-1,"8,2","6,7","15.896,76 R$",-1,20º,"91,2 %","62.313,17 R$ (×1000)","60.923,79 R$ (×1000)","2,82 óbitos por mil nascidos vivos",-1,-1,"0,2 internações por mil habitantes","209,029 km²",,-1,"13,6 %","88,5 %","1,2 %"
0,ji,parana,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,joacaba,sc,27.020 pessoas,1174º,44º,"116,35 hab/km²","2,6 salários mínimos",466º,29º,18.166 pessoas,"60,9 %","99,8 %",1174º,-1,"6,3","5,0","53.259,48 R$",466º,268º,"48,9 %","162.503,71 R$ (×1000)","125.903,66 R$ (×1000)","5,85 óbitos por mil nascidos vivos",,-1,"0,8 internações por mil habitantes","241,637 km²",,-1,"84,4 %","66,1 %","52,9 %"
0,joanesia,mg,5.425 pessoas,4109º,578º,"23,25 hab/km²","1,6 salários mínimos",-1,515º,394 pessoas,"8,4 %","98,6 %",1139º,,"7,2","4,4","15.436,22 R$",-1,,"94,2 %","16.667,14 R$ (×1000)","14.224,81 R$ (×1000)","29,41 óbitos por mil nascidos vivos",2968º,-1,-,"233,292 km²",-1,,"25,6 %","74,7 %","32,4 %"
0,joanopolis,sp,11.768 pessoas,2637º,335º,"31,44 hab/km²","1,9 salários mínimos",-1,557º,2.750 pessoas,"21,0 %","95,8 %",,-1,"7,1","5,6","16.043,39 R$",-1,-1,"85,6 %","39.221,69 R$ (×1000)","35.825,19 R$ (×1000)","7,25 óbitos por mil nascidos vivos",,-1,-,"374,293 km²",4º,-1,"81,5 %","66,8 %","64,9 %"
0,joao-dourado,ba,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,joao-lisboa,ma,20.381 pessoas,1610º,85º,"32,00 hab/km²","1,6 salários mínimos",-1,171º,1.470 pessoas,"6,2 %","99,3 %",,-1,"4,6","3,9","8.287,46 R$",-1,-1,"95,9 %","52.757,39 R$ (×1000)","50.472,16 R$ (×1000)","4,20 óbitos por mil nascidos vivos",-1,-1,"3,5 internações por mil habitantes","1.135,211 km²",1287º,-1,"6,8 %","76,7 %","0,4 %"
0,joao-monlevade,mg,73.610 pessoas,402º,47º,"742,35 hab/km²","2,4 salários mínimos",,68º,21.490 pessoas,"27,1 %","98,4 %",974º,-1,"6,8","4,9","32.537,18 R$",,,"66,8 %","207.915,68 R$ (×1000)","188.260,93 R$ (×1000)","14,84 óbitos por mil nascidos vivos",-1,-1,"0,2 internações por mil habitantes","99,158 km²",-1,-1,"92,8 %","39,3 %","52,9 %"
0,joao-neiva,es,15.809 pessoas,2071º,43º,"55,52 hab/km²","2,1 salários mínimos",-1,16º,3.618 pessoas,"21,8 %","98,7 %",,-1,"6,2","5,4","20.399,93 R$",-1,-1,76 %,"59.209,08 R$ (×1000)","45.848,60 R$ (×1000)","15,46 óbitos por mil nascidos vivos",-1,-1,3 internações por mil habitantes,"284,735 km²",,-1,81 %,"38,7 %","27,8 %"
0,joao-pessoa,pb,723.515 pessoas,24º,1º,"3.421,28 hab/km²","2,8 salários mínimos",-1,1º,288.866 pessoas,"36,1 %","96,9 %",-1,-1,"4,9","3,9","24.319,82 R$",-1,4º,"66,1 %","2.073.781,42 R$ (×1000)","1.921.360,54 R$ (×1000)","12,92 óbitos por mil nascidos vivos",,-1,"1,1 internações por mil habitantes","210,044 km²",,-1,"70,8 %","78,4 %","25,1 %"
0,joao-pinheiro,mg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,joao-ramalho,sp,4.150 pessoas,4599º,529º,"9,99 hab/km²","2,1 salários mínimos",603º,402º,397 pessoas,"8,8 %","99,4 %",,-1,"6,8","5,1","40.077,94 R$",603º,5º,"91,4 %","25.663,13 R$ (×1000)","19.048,13 R$ (×1000)","16,13 óbitos por mil nascidos vivos",-1,-1,"1,4 internações por mil habitantes","415,452 km²",,-1,"84,8 %","96,7 %","22,9 %"
0,joaquim-felicio,mg,4.305 pessoas,4537º,678º,"5,44 hab/km²","1,5 salários mínimos",-1,664º,440 pessoas,"9,4 %","97,5 %",,-1,"6,9","4,7","8.649,46 R$",-1,-1,"94,5 %","16.364,23 R$ (×1000)","14.231,29 R$ (×1000)","20,83 óbitos por mil nascidos vivos",,-1,-,"790,935 km²",-1,-1,"28,9 %","96,8 %","2,2 %"
0,joaquim-gomes,al,22.575 pessoas,1450º,36º,"75,68 hab/km²","1,8 salários mínimos",-1,31º,1.615 pessoas,"6,8 %","93,9 %",,-1,"4,4","3,9","12.996,74 R$",-1,,"97,6 %","67.068,59 R$ (×1000)","45.151,42 R$ (×1000)","16,09 óbitos por mil nascidos vivos",3263º,-1,"1,8 internações por mil habitantes","298,170 km²",-1,-1,"16,1 %","13,4 %","9,9 %"
0,joaquim-tavora,pr,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,joinville,sc,515.288 pessoas,37º,1º,"457,58 hab/km²","2,9 salários mínimos",-1,9º,242.048 pessoas,"41,5 %","97,3 %",,-1,"7,1","5,8","47.442,90 R$",-1,378º,"50,5 %","2.280.394,17 R$ (×1000)","1.907.863,94 R$ (×1000)","8,78 óbitos por mil nascidos vivos",3221º,-1,"0,2 internações por mil habitantes","1.127,946 km²",1292º,-1,"74,9 %","60,4 %",48 %
0,jose-bonifacio,sp,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,jose-de-freitas,pi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,josenopolis,mg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,jose-raydan,mg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,joviania,go,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,juara,mt,32.791 pessoas,937º,14º,"1,45 hab/km²","2,1 salários mínimos",,105º,6.807 pessoas,"19,6 %",96 %,937º,-1,"6,1","5,2","23.251,67 R$",,,"76,4 %","107.350,10 R$ (×1000)","93.567,26 R$ (×1000)","13,68 óbitos por mil nascidos vivos",,-1,"2,1 internações por mil habitantes","22.622,350 km²",-1,-1,"16,7 %","71,7 %","2,9 %"
0,juarez-tavora,pb,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,juatuba,mg,22.202 pessoas,1484º,161º,"223,04 hab/km²","2,7 salários mínimos",,30º,6.733 pessoas,"25,4 %","98,8 %",,-1,"6,5","5,4","46.449,90 R$",,398º,"85,9 %","114.495,68 R$ (×1000)","94.492,78 R$ (×1000)","10,20 óbitos por mil nascidos vivos",,-1,0 internações por mil habitantes,"97,172 km²",-1,-1,"51,7 %","80,9 %","13,3 %"
0,juazeirinho,pb,16.776 pessoas,1996º,48º,"35,88 hab/km²","1,5 salários mínimos",-1,166º,1.557 pessoas,"8,6 %","97,8 %",,-1,"4,4","3,1","8.473,72 R$",-1,,"93,9 %","39.901,01 R$ (×1000)","36.885,86 R$ (×1000)","25,97 óbitos por mil nascidos vivos",-1,-1,"0,7 internações por mil habitantes","474,606 km²",-1,-1,"57,6 %","79,3 %","2,3 %"
0,juazeiro,ba,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,juazeiro-do-norte,ce,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,jucas,ce,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,juina,mt,39.255 pessoas,774º,13º,"1,50 hab/km²","2,1 salários mínimos",,105º,8.959 pessoas,"21,9 %","96,4 %",,-1,"5,8","4,7","25.659,19 R$",,,"74,2 %","123.325,83 R$ (×1000)","103.068,38 R$ (×1000)","12,16 óbitos por mil nascidos vivos",,-1,1 internações por mil habitantes,"26.189,915 km²",-1,-1,"7,8 %","45,6 %",8 %
0,juiz-de-fora,mg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,julio-de-castilhos,rs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,junco-do-serido,pb,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,jundiai,sp,370.126 pessoas,59º,15º,"858,42 hab/km²","3,5 salários mínimos",-1,20º,188.446 pessoas,"45,4 %","98,2 %",-1,-1,"7,1","5,3","100.679,50 R$",-1,58º,"55,5 %","2.111.466,93 R$ (×1000)","1.856.200,09 R$ (×1000)","10,55 óbitos por mil nascidos vivos",2999º,-1,"0,2 internações por mil habitantes","431,207 km²",-1,-1,"96,6 %","81,6 %","69,2 %"
0,junqueiropolis,sp,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,juquia,sp,19.246 pessoas,1715º,251º,"23,68 hab/km²","2,0 salários mínimos",-1,485º,2.169 pessoas,"11,5 %","97,7 %",,-1,"6,3","5,0","18.842,54 R$",-1,-1,"85,9 %","51.990,46 R$ (×1000)","43.324,20 R$ (×1000)","17,99 óbitos por mil nascidos vivos",,-1,"1,3 internações por mil habitantes","812,799 km²",-1,-1,"62,5 %","64,5 %","11,8 %"
0,juranda,pr,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,jurema,pe,14.541 pessoas,2225º,128º,"98,08 hab/km²","1,7 salários mínimos",,70º,743 pessoas,"4,8 %",96 %,-1,-1,"4,8","3,8","7.770,04 R$",,-1,"89,5 %","40.801,90 R$ (×1000)","48.971,80 R$ (×1000)","23,04 óbitos por mil nascidos vivos",-1,-1,"0,8 internações por mil habitantes","148,254 km²",-1,-1,"61,7 %","48,5 %","2,2 %"
0,juru,pb,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,juruaia,mg,9.238 pessoas,3142º,381º,"41,92 hab/km²","1,4 salários mínimos",-1,773º,2.592 pessoas,"24,8 %","95,5 %",,,"7,0","5,7","15.923,15 R$",-1,-1,"84,2 %","30.830,15 R$ (×1000)","23.185,67 R$ (×1000)","19,61 óbitos por mil nascidos vivos",3142º,-1,"0,4 internações por mil habitantes","220,353 km²",-1,,"52,7 %","82,9 %","55,6 %"
0,juruena,mt,11.201 pessoas,2734º,61º,"4,03 hab/km²","2,1 salários mínimos",-1,105º,1.513 pessoas,"9,8 %","96,6 %",,-1,"6,0","4,7","12.654,98 R$",-1,-1,"82,7 %","32.295,51 R$ (×1000)","27.266,38 R$ (×1000)",- óbitos por mil nascidos vivos,,-1,"3,5 internações por mil habitantes","2.778,986 km²",-1,-1,"27,9 %","76,3 %","0,4 %"
0,juscimeira,mt,11.430 pessoas,2685º,59º,"5,18 hab/km²","2,3 salários mínimos",559º,76º,1.488 pessoas,"13,2 %","99,3 %",1019º,-1,"5,8","4,6","26.618,94 R$",559º,-1,"84,8 %","33.976,62 R$ (×1000)","29.755,82 R$ (×1000)","7,69 óbitos por mil nascidos vivos",,-1,"5,5 internações por mil habitantes","2.720,481 km²",-1,-1,"7,8 %",48 %,"10,4 %"
0,jussara,ba,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
